exp_id,model_type,true_label_id,true_label_name,pred_label_id,pred_label_name,count,is_correct
EXP6,cbam,3,Severe NPDR,4,Proliferative DR,,0
EXP6,cbam,4,Proliferative DR,0,No DR,,0
EXP6,cbam,4,Proliferative DR,1,Mild NPDR,,0
EXP6,cbam,4,Proliferative DR,2,Moderate NPDR,,0
EXP6,cbam,4,Proliferative DR,3,Severe NPDR,,0
EXP6,cbam,4,Proliferative DR,4,Proliferative DR,,1
EXP7,cbam,0,No DR,0,No DR,,1
EXP7,cbam,0,No DR,1,Mild NPDR,,0
EXP7,cbam,0,No DR,2,Moderate NPDR,,0
EXP7,cbam,0,No DR,3,Severe NPDR,,0
EXP7,cbam,0,No DR,4,Proliferative DR,,0
EXP7,cbam,1,Mild NPDR,0,No DR,,0
EXP7,cbam,1,Mild NPDR,1,Mild NPDR,,1
EXP7,cbam,1,Mild NPDR,2,Moderate NPDR,,0
EXP7,cbam,1,Mild NPDR,3,Severe NPDR,,0
EXP7,cbam,1,Mild NPDR,4,Proliferative DR,,0
EXP7,cbam,2,Moderate NPDR,0,No DR,,0
EXP7,cbam,2,Moderate NPDR,1,Mild NPDR,,0
EXP7,cbam,2,Moderate NPDR,2,Moderate NPDR,,1
EXP7,cbam,2,Moderate NPDR,3,Severe NPDR,,0
EXP7,cbam,2,Moderate NPDR,4,Proliferative DR,,0
EXP7,cbam,3,Severe NPDR,0,No DR,,0
EXP7,cbam,3,Severe NPDR,1,Mild NPDR,,0
EXP7,cbam,3,Severe NPDR,2,Moderate NPDR,,0
EXP7,cbam,3,Severe NPDR,3,Severe NPDR,,1
EXP7,cbam,3,Severe NPDR,4,Proliferative DR,,0
EXP7,cbam,4,Proliferative DR,0,No DR,,0
EXP7,cbam,4,Proliferative DR,1,Mild NPDR,,0
EXP7,cbam,4,Proliferative DR,2,Moderate NPDR,,0
EXP7,cbam,4,Proliferative DR,3,Severe NPDR,,0
EXP7,cbam,4,Proliferative DR,4,Proliferative DR,,1
EXP8,cbam,0,No DR,0,No DR,,1
EXP8,cbam,0,No DR,1,Mild NPDR,,0
EXP8,cbam,0,No DR,2,Moderate NPDR,,0
EXP8,cbam,0,No DR,3,Severe NPDR,,0
EXP8,cbam,0,No DR,4,Proliferative DR,,0
EXP8,cbam,1,Mild NPDR,0,No DR,,0
EXP8,cbam,1,Mild NPDR,1,Mild NPDR,,1
EXP8,cbam,1,Mild NPDR,2,Moderate NPDR,,0
EXP8,cbam,1,Mild NPDR,3,Severe NPDR,,0
EXP8,cbam,1,Mild NPDR,4,Proliferative DR,,0
EXP8,cbam,2,Moderate NPDR,0,No DR,,0
EXP8,cbam,2,Moderate NPDR,1,Mild NPDR,,0
EXP8,cbam,2,Moderate NPDR,2,Moderate NPDR,,1
EXP8,cbam,2,Moderate NPDR,3,Severe NPDR,,0
EXP8,cbam,2,Moderate NPDR,4,Proliferative DR,,0
EXP8,cbam,3,Severe NPDR,0,No DR,,0
EXP8,cbam,3,Severe NPDR,1,Mild NPDR,,0
EXP8,cbam,3,Severe NPDR,2,Moderate NPDR,,0
EXP8,cbam,3,Severe NPDR,3,Severe NPDR,,1
EXP8,cbam,3,Severe NPDR,4,Proliferative DR,,0
EXP8,cbam,4,Proliferative DR,0,No DR,,0
EXP8,cbam,4,Proliferative DR,1,Mild NPDR,,0
EXP8,cbam,4,Proliferative DR,2,Moderate NPDR,,0
EXP8,cbam,4,Proliferative DR,3,Severe NPDR,,0
EXP8,cbam,4,Proliferative DR,4,Proliferative DR,,1
