exp_id,exp_name,train_dataset,test_dataset,model_type,model_status,accuracy,f1_macro,auc_roc
EXP1,APTOS → APTOS,APTOS,APTOS,baseline,complete,0.8328,0.6591,0.9562
EXP2,Messidor → APTOS,Messidor,APTOS,baseline,complete,0.5560,0.4087,0.7725
EXP3,APTOS → Messidor,APTOS,Messidor,baseline,complete,0.6451,0.3330,nan
EXP4,APTOS+Mes → ODIR,APTOS+Messidor,ODIR,baseline,complete,0.9583,0.2497,nan
EXP5,APTOS → APTOS (CBAM),APTOS,APTOS,cbam,complete,0.8549,0.6863,0.9589
EXP6,Messidor → APTOS (CBAM),Messidor,APTOS,cbam,complete,0.7143,0.4431,0.8376
EXP7,APTOS → Messidor (CBAM),APTOS,Messidor,cbam,complete,0.5940,0.3330,0.7910
EXP8,APTOS+Mes → ODIR (CBAM),APTOS+Messidor,ODIR,cbam,complete,0.6299,0.2876,0.7407
